,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
29,30,6,2,4,0,1,0,0,8,5,121,1,999,0,0,0
30,34,6,2,3,0,0,0,1,6,6,236,7,999,0,0,0
31,63,2,0,2,0,0,0,0,8,5,163,1,999,0,0,0
32,46,3,2,1,0,1,0,0,11,3,1166,3,999,1,1,0
33,44,7,1,4,0,1,1,0,6,5,134,1,999,1,1,0
34,55,2,0,2,2,1,1,0,8,4,89,1,999,0,0,0
35,32,3,2,1,0,0,0,0,5,6,800,5,999,0,0,0
36,34,3,0,1,0,0,0,0,7,4,266,1,999,0,0,0
37,33,7,0,1,0,0,0,1,5,3,367,5,999,0,0,0
38,34,0,0,0,0,1,0,0,4,6,70,1,999,1,1,0
39,23,3,0,3,0,0,0,0,4,2,297,4,999,0,0,0
40,39,0,0,6,0,0,0,0,5,6,138,1,999,0,0,0
41,30,6,0,1,0,0,0,1,5,6,282,2,999,0,0,0
42,41,6,1,4,0,0,0,0,4,5,774,2,999,1,1,1
43,55,10,0,5,2,1,0,0,8,5,60,4,999,0,0,0
44,30,3,0,1,0,0,0,1,6,6,75,1,999,0,0,0
45,48,5,1,3,0,0,1,0,7,2,88,4,999,0,0,0
46,36,6,2,4,0,1,0,0,8,5,474,1,999,0,0,1
47,46,7,0,2,0,1,1,0,11,3,162,1,999,1,1,0
48,48,3,2,3,0,0,0,0,4,2,223,2,999,0,0,0
49,36,1,0,3,0,1,0,1,6,2,112,4,999,0,0,0
50,53,7,0,1,0,1,0,1,5,4,232,1,999,0,0,0
51,56,2,0,0,0,1,1,1,5,4,71,4,999,0,0,0
52,48,0,0,5,2,2,2,0,8,5,642,3,999,0,0,0
53,35,0,0,0,0,0,0,0,5,6,211,1,999,1,1,0
54,50,1,0,4,2,1,0,0,8,5,293,4,999,0,0,0
55,32,6,2,4,0,1,1,0,4,2,230,1,999,1,1,0
56,37,6,2,1,0,0,0,1,6,2,182,2,999,0,0,0
57,56,5,1,3,2,0,0,1,5,2,154,1,999,0,0,0
58,35,0,2,0,0,1,0,0,7,3,120,6,999,0,0,0
59,51,0,0,2,0,1,0,0,5,4,440,2,999,0,0,1
60,51,3,0,1,0,0,0,0,6,2,297,4,999,0,0,1
61,44,6,1,4,2,1,0,0,4,5,172,2,999,0,0,0
62,36,0,0,0,0,1,0,1,5,2,121,2,999,0,0,0
63,36,9,0,1,0,0,0,0,7,5,616,2,999,0,0,0
64,47,3,2,1,0,0,0,0,8,5,310,3,999,0,0,0
65,30,6,2,4,0,1,0,0,8,6,126,1,999,0,0,0
66,32,3,0,1,0,0,0,0,7,5,46,4,999,0,0,0
67,39,3,0,1,2,1,0,1,7,4,197,4,999,0,0,0
68,71,2,0,4,0,0,0,0,9,6,313,1,999,0,0,0
69,34,3,2,3,0,0,0,0,11,4,347,1,999,0,0,0
70,32,3,2,1,2,2,2,1,5,3,49,1,999,0,0,0
71,58,5,0,2,0,0,0,1,5,6,226,1,999,0,0,0
72,21,0,2,0,0,0,0,0,7,4,219,1,999,0,0,0
73,39,0,0,0,0,1,0,0,5,6,8,6,999,0,0,0
74,39,1,0,3,2,0,1,1,5,4,173,7,999,0,0,0
75,39,8,0,3,0,1,0,0,11,3,84,1,999,0,0,0
76,45,0,0,0,2,0,0,1,5,3,107,2,999,0,0,0
77,40,3,2,3,0,0,0,1,5,3,371,2,999,0,0,0
78,49,3,0,3,0,0,0,0,8,3,15,13,999,0,0,0
79,48,6,2,3,0,1,1,1,5,6,115,2,999,0,0,0
80,25,3,2,3,0,0,0,1,5,3,268,3,999,0,0,0
81,49,0,1,5,2,1,0,0,7,4,284,1,999,0,0,0
82,33,0,2,0,2,0,0,0,5,2,130,3,999,0,0,0
83,35,5,2,0,0,0,0,0,7,6,61,2,999,0,0,0
84,33,1,0,1,0,0,0,0,7,2,611,2,999,0,0,0
85,36,11,0,2,0,0,0,1,6,2,152,2,999,0,0,0
86,49,3,2,3,0,0,0,1,5,3,363,5,999,0,0,0
87,30,8,0,1,0,0,0,0,5,6,67,1,999,1,1,0
88,77,2,0,2,0,2,2,0,7,3,218,2,3,1,2,1
89,34,8,0,1,0,1,0,1,5,6,247,1,999,0,0,0
90,48,8,1,1,2,0,0,0,5,5,33,6,999,0,0,0
91,44,8,0,3,2,0,1,1,7,2,73,5,999,0,0,0
92,50,9,0,4,0,0,0,1,5,5,189,1,999,0,0,0
93,49,0,0,0,2,0,0,0,7,5,134,1,999,0,0,0
94,28,3,2,1,0,0,0,0,8,5,489,5,999,0,0,1
95,50,0,1,0,0,0,0,1,5,6,878,3,999,0,0,0
96,40,3,2,3,0,1,0,0,6,3,154,1,999,1,1,0
97,48,5,0,0,2,0,0,0,5,6,18,8,999,0,0,0
98,32,6,0,1,0,1,1,1,7,5,50,6,999,0,0,0
99,29,3,0,3,0,0,0,1,6,2,255,1,999,0,0,0
100,29,3,2,3,0,1,0,1,5,2,26,1,999,0,0,0
101,55,1,1,1,0,0,0,0,11,6,110,2,999,0,0,0
102,45,10,0,5,2,1,0,1,5,5,56,2,999,0,0,0
103,52,6,1,4,2,1,0,1,6,2,56,8,999,0,0,0
104,32,6,2,1,0,1,0,0,5,4,75,4,999,0,0,0
105,38,6,0,4,2,1,0,1,5,3,153,2,999,0,0,0
106,33,3,2,1,0,1,0,0,10,6,233,1,999,0,0,1
107,29,6,2,4,0,1,0,0,8,5,94,4,999,0,0,0
108,37,3,0,1,0,1,0,0,8,3,198,2,999,0,0,0
109,80,2,0,2,0,1,0,0,3,5,156,1,999,0,0,1
110,57,8,0,1,0,1,0,1,11,6,109,1,999,0,0,0
111,37,0,1,0,0,1,0,1,5,5,604,4,999,0,0,1
112,40,3,0,3,2,0,1,1,5,6,84,3,999,0,0,0
113,43,5,1,5,2,1,1,0,7,3,483,7,999,0,0,0
114,22,0,2,2,0,1,0,1,11,5,16,1,999,0,0,0
115,41,7,0,4,0,1,0,0,5,5,46,1,999,0,0,0
116,35,0,2,6,2,1,0,0,7,2,153,1,999,0,0,0
117,37,0,0,0,2,0,0,1,7,2,179,2,999,0,0,0
118,44,6,1,4,0,1,0,0,5,5,245,3,999,0,0,0
119,32,0,2,3,0,0,0,1,7,5,234,4,999,0,0,0
120,60,2,0,2,2,0,0,0,8,3,332,3,999,0,0,0
121,36,0,0,5,0,1,0,0,5,5,131,1,999,0,0,0
122,51,3,1,1,0,2,2,1,5,4,160,2,999,0,0,0
123,36,1,0,1,0,0,0,1,5,4,386,3,999,0,0,0
124,46,5,0,3,0,1,0,0,4,4,201,2,999,0,0,0
125,30,8,2,1,0,0,0,0,4,4,244,3,999,0,0,0
126,33,3,0,1,0,0,0,0,9,2,369,3,999,0,0,1
127,36,3,0,3,2,1,1,0,5,2,264,1,10,1,2,0
128,27,9,2,0,0,0,0,0,4,6,48,2,999,1,1,0
129,37,5,0,3,2,1,1,1,5,5,73,3,999,0,0,0
130,50,1,0,3,0,1,1,0,5,6,1326,6,999,1,1,0
131,37,5,0,3,0,1,0,0,5,4,130,1,999,0,0,0
132,24,6,2,1,0,1,0,0,4,5,170,1,999,0,0,0
133,31,11,0,2,0,0,0,1,6,4,91,2,999,0,0,0
134,30,3,2,3,0,1,0,0,5,5,29,8,999,1,1,0
135,33,3,0,3,0,0,0,1,5,4,307,1,999,0,0,0
136,49,3,0,1,0,1,0,0,8,5,260,1,999,0,0,0
137,49,0,0,0,2,1,0,1,5,4,170,2,999,0,0,0
138,31,6,2,3,0,0,0,0,8,3,191,1,999,0,0,0
139,30,9,0,0,0,0,0,0,7,6,154,2,999,0,0,0
140,29,6,0,5,0,1,0,0,7,6,404,1,999,0,0,0
141,41,6,0,4,0,1,1,0,8,6,264,1,999,0,0,0
142,40,3,0,1,0,0,0,0,8,2,23,12,999,0,0,0
143,41,0,1,2,0,1,0,1,6,4,122,1,999,0,0,0
144,42,0,0,0,0,0,0,1,5,2,173,2,999,0,0,0
145,37,5,0,3,0,0,0,1,6,6,115,4,999,0,0,0
146,34,3,0,1,0,1,0,0,5,6,407,3,8,3,1,1
147,51,5,2,6,0,1,0,0,7,6,48,1,999,0,0,0
148,39,11,0,3,0,1,0,1,5,6,61,2,999,0,0,0
149,33,6,1,3,0,0,0,1,5,3,207,1,999,0,0,0
150,39,0,1,3,0,0,0,1,5,2,281,1,999,0,0,0
151,27,7,2,1,0,1,0,1,6,6,244,2,999,0,0,0
152,36,8,2,1,0,0,0,0,7,2,310,5,999,0,0,0
153,43,7,0,1,2,1,1,1,6,4,1487,1,999,0,0,0
154,42,7,0,1,2,0,1,0,7,2,95,2,999,0,0,0
155,35,8,0,1,0,0,0,0,4,5,375,1,999,0,0,1
156,28,3,2,3,0,1,0,0,3,6,300,1,999,0,0,1
157,47,0,1,0,0,0,1,1,5,6,322,1,999,0,0,0
158,55,3,2,1,2,0,0,0,11,2,142,1,999,0,0,0
159,34,5,0,3,2,0,0,0,5,3,245,5,999,0,0,0
160,34,0,0,2,0,1,0,0,11,3,87,1,999,0,0,0
161,44,7,0,0,2,0,0,0,8,2,136,10,999,0,0,0
162,39,0,0,5,2,0,0,1,7,4,218,2,999,0,0,0
163,49,5,0,3,0,0,0,1,5,4,249,2,999,0,0,0
164,36,0,2,3,2,0,0,1,5,2,90,2,999,0,0,0
165,37,8,0,1,2,0,1,1,6,2,179,7,999,0,0,0
166,37,3,0,1,0,1,0,0,8,3,356,1,999,0,0,0
167,40,3,2,3,0,1,0,0,7,3,635,3,999,0,0,0
168,59,6,0,1,0,0,0,0,10,2,268,1,999,1,1,0
169,49,0,0,2,2,1,0,0,8,6,21,3,999,0,0,0
170,53,3,2,1,0,1,0,0,6,6,304,2,3,1,2,1
171,57,0,0,3,2,0,0,1,6,3,171,3,999,0,0,0
172,43,6,0,6,0,1,0,1,5,4,261,3,999,0,0,0
173,54,1,0,4,0,0,0,0,11,3,1855,1,999,0,0,1
174,51,3,1,3,0,1,1,0,11,3,334,2,6,4,1,1
175,35,0,1,2,0,1,0,0,7,3,123,1,999,0,0,0
176,53,3,0,1,0,0,0,1,7,6,120,1,999,0,0,0
177,53,1,1,1,0,1,0,0,11,2,68,1,999,0,0,0
178,34,3,1,1,0,1,0,1,7,5,332,3,999,1,1,1
179,50,11,1,3,2,1,0,1,6,4,763,4,999,0,0,0
180,39,3,0,1,2,0,0,0,8,5,144,10,999,0,0,0
181,27,4,2,3,0,1,0,0,5,3,41,1,999,0,0,0
182,27,8,2,1,0,1,0,0,9,3,137,2,4,2,2,0
183,44,0,2,2,0,1,0,1,5,5,106,1,999,0,0,0
184,29,7,0,1,0,0,0,0,11,5,157,2,999,0,0,0
185,42,0,0,2,2,1,0,1,5,6,72,2,999,0,0,0
186,31,6,2,3,0,1,0,0,4,6,596,1,999,1,1,0
187,29,6,0,4,0,0,0,0,7,4,263,2,999,0,0,0
188,60,2,0,1,2,1,0,1,5,6,576,1,999,0,0,0
189,28,7,2,1,0,0,1,0,5,2,315,1,999,0,0,1
190,28,0,0,0,0,1,0,0,5,3,390,1,999,0,0,1
191,40,5,0,3,0,0,0,0,5,4,246,4,999,1,1,0
192,35,3,0,3,0,0,0,1,5,4,15,19,999,0,0,0
193,36,5,2,3,0,0,0,0,7,6,254,2,999,0,0,0
194,36,0,0,6,2,2,2,1,5,2,190,1,999,0,0,0
195,49,3,0,3,0,1,1,0,7,2,263,1,999,0,0,0
196,47,3,0,1,2,0,1,1,5,3,139,2,999,0,0,0
197,29,3,0,1,0,0,1,0,8,5,220,3,999,0,0,0
198,35,0,1,0,0,0,1,1,5,6,192,6,999,0,0,0
199,33,3,0,4,0,0,0,1,6,6,110,4,999,0,0,0
200,28,5,2,3,0,1,0,1,5,2,318,1,999,0,0,0
201,44,6,0,4,0,0,0,1,5,2,754,1,999,0,0,0
202,34,8,2,1,0,0,0,0,7,5,257,2,999,0,0,0
203,48,3,1,3,0,0,0,1,5,5,66,2,999,0,0,0
204,38,6,0,4,0,0,0,1,5,5,436,1,999,0,0,0
205,39,5,0,3,0,0,0,0,7,3,297,1,999,0,0,0
206,35,0,2,2,0,0,0,0,5,6,12,5,999,0,0,0
207,26,3,2,1,0,1,0,0,7,2,200,2,999,0,0,0
208,48,3,0,3,2,1,1,0,7,5,64,1,999,0,0,0
209,41,0,0,0,0,1,1,0,5,2,190,8,999,0,0,0
210,37,0,0,6,2,0,0,0,5,5,635,2,999,0,0,0
211,38,6,2,1,0,1,0,1,6,3,267,1,999,0,0,0
212,45,0,0,2,2,0,1,0,5,3,397,1,999,0,0,0
213,45,0,0,6,2,1,0,0,11,2,696,2,999,0,0,1
214,36,4,2,0,0,1,0,1,6,5,176,1,999,0,0,0
215,45,0,0,2,2,1,1,1,6,3,825,1,999,0,0,0
216,45,3,1,1,0,1,1,0,11,6,69,9,999,0,0,0
217,35,3,1,3,0,1,0,0,5,2,88,1,999,1,1,0
218,40,0,0,2,2,0,0,1,6,2,1238,2,999,0,0,0
219,38,9,0,2,2,0,0,0,7,3,195,1,999,0,0,0
220,39,3,0,3,0,1,0,1,4,3,189,1,999,0,0,0
221,52,11,0,6,0,1,0,0,8,6,208,1,999,0,0,0
222,37,1,0,0,0,0,0,0,5,2,277,1,9,1,2,0
223,33,3,2,3,0,1,0,0,10,2,61,2,6,2,1,0
224,33,3,2,1,0,1,0,0,4,6,382,2,999,0,0,0
225,49,0,0,2,2,1,0,1,5,5,282,1,999,0,0,0
226,38,3,0,3,0,1,0,0,5,6,6,5,999,1,1,0
227,34,6,0,4,0,1,0,0,8,5,286,9,999,0,0,0
228,38,0,0,0,2,1,0,0,5,3,276,1,999,1,1,0
229,56,7,0,0,0,2,2,0,8,5,141,1,999,0,0,0
230,30,9,0,3,0,0,0,0,5,2,417,1,3,1,2,1
231,24,4,2,4,0,1,0,0,4,5,413,1,999,0,0,1
232,36,6,0,5,0,1,0,1,5,3,322,2,999,0,0,0
233,40,6,0,0,0,0,0,0,11,4,59,1,999,0,0,0
234,29,5,0,1,0,0,1,0,6,6,89,2,999,0,0,0
235,29,0,0,0,0,1,0,0,7,2,166,1,999,0,0,0
236,46,3,0,3,2,1,0,0,4,2,9,1,999,0,0,0
237,51,3,0,3,0,0,1,1,6,5,222,1,999,0,0,0
238,27,5,2,3,0,1,0,0,7,2,306,2,999,0,0,0
239,58,8,0,1,0,1,0,0,5,2,504,1,999,0,0,0
240,29,6,2,1,0,1,0,0,6,4,101,1,999,0,0,0
241,43,0,1,2,2,0,0,1,5,5,154,2,999,0,0,0
242,34,6,1,4,0,1,0,0,8,3,104,3,999,0,0,0
243,27,6,2,0,2,0,0,0,7,6,171,7,999,0,0,0
244,53,8,0,1,0,1,0,0,11,5,186,1,999,0,0,0
245,44,3,2,4,0,1,0,1,11,5,25,8,999,0,0,0
246,30,0,0,6,0,1,1,0,11,5,74,1,999,0,0,0
247,32,3,2,1,0,1,0,0,8,5,206,1,999,0,0,0
248,30,6,2,3,0,0,0,0,8,2,638,4,999,0,0,1
249,46,3,1,1,2,1,0,0,7,5,51,1,999,0,0,0
250,39,5,1,3,0,0,0,0,5,5,186,1,999,0,0,0
251,28,6,1,4,2,1,0,1,5,5,174,1,999,0,0,0
252,34,3,3,1,0,1,0,0,7,5,243,1,999,0,0,0
253,50,0,0,2,0,0,0,0,7,2,1130,3,999,0,0,1
254,59,6,0,5,0,1,0,1,5,2,386,1,999,0,0,0
255,27,5,2,3,0,1,0,0,5,5,193,1,999,0,0,0
256,32,6,2,4,0,0,0,0,7,3,52,5,999,0,0,0
257,29,3,2,1,0,0,0,1,5,5,141,2,999,0,0,0
258,42,5,2,3,0,1,0,0,5,2,7,5,999,2,1,0
259,25,0,2,3,2,1,0,1,5,2,300,3,999,2,1,0
260,52,11,0,2,2,1,1,0,8,2,85,2,999,0,0,0
261,47,6,1,3,0,1,0,0,11,2,182,1,999,1,1,1
262,43,0,0,0,0,1,1,0,7,3,393,2,999,0,0,0
263,36,6,0,4,0,1,0,1,5,2,232,3,999,0,0,0
264,35,6,2,3,0,1,0,1,6,2,92,2,999,0,0,0
265,56,8,0,1,0,0,1,1,7,4,154,1,999,0,0,0
266,55,9,0,1,0,1,0,0,11,5,303,2,999,0,0,0
267,55,5,2,3,0,0,1,0,5,4,107,2,999,0,0,0
268,45,3,0,1,0,1,0,0,8,2,226,1,999,0,0,0
269,30,6,0,1,2,0,0,1,5,3,191,1,999,0,0,0
270,30,0,1,0,0,1,0,0,7,3,168,2,999,0,0,0
271,58,3,0,3,0,1,0,0,11,6,441,1,999,0,0,0
272,50,1,0,2,0,1,0,0,11,3,286,1,999,0,0,0
273,26,0,2,0,2,1,0,0,7,6,151,2,999,0,0,0
274,33,3,2,1,0,0,0,0,7,2,546,2,999,0,0,0
275,34,0,0,6,0,0,0,1,5,5,248,3,999,0,0,0
276,34,3,0,3,0,1,0,1,7,5,12,1,999,1,1,0
277,29,6,2,1,0,0,0,0,4,2,354,1,999,0,0,0
278,37,11,2,1,0,0,0,0,5,6,288,2,999,0,0,1
279,24,5,2,4,0,1,0,0,7,4,55,1,999,0,0,0
280,81,2,0,6,0,0,0,0,8,5,189,2,4,1,2,0
281,35,0,0,0,0,0,0,1,5,5,343,2,999,0,0,0
282,24,0,2,0,0,0,0,0,5,2,297,1,999,0,0,0
283,33,0,0,6,0,1,0,0,7,3,376,1,999,0,0,0
284,32,5,0,3,0,1,1,0,4,2,6,6,999,1,1,0
285,41,7,0,2,0,0,0,1,6,2,174,1,999,0,0,0
286,37,6,1,4,0,0,0,0,8,3,80,1,999,0,0,0
287,44,0,0,4,2,0,0,0,7,3,181,11,999,0,0,0
288,57,2,0,3,0,0,0,0,8,4,115,3,999,0,0,0
289,31,1,3,1,0,0,0,0,10,5,164,1,999,0,0,1
290,56,2,0,2,0,0,0,0,11,3,79,1,999,0,0,0
291,31,3,2,1,0,1,1,0,8,5,95,7,999,0,0,0
292,43,9,0,0,0,0,0,0,9,6,270,2,9,1,2,1
293,55,2,0,1,2,0,0,1,5,5,207,1,999,0,0,0
294,34,6,0,1,0,1,0,0,5,5,69,1,999,0,0,0
295,33,0,2,3,0,1,0,1,5,4,202,2,999,0,0,0
296,41,8,0,5,0,0,0,1,5,3,172,1,999,0,0,0
297,50,8,0,1,0,0,0,0,11,5,146,1,999,1,1,0
298,31,0,0,6,2,0,0,1,6,4,91,4,999,0,0,0
299,47,8,0,2,2,0,0,1,5,6,463,2,999,0,0,0
300,49,1,0,3,0,0,0,0,5,3,141,1,999,0,0,0
301,59,7,0,4,0,1,0,0,4,2,274,5,999,0,0,0
302,47,3,0,1,0,0,0,1,5,2,408,2,999,0,0,0
303,46,3,0,1,0,1,0,1,5,2,243,4,999,0,0,0
304,26,8,2,1,0,0,0,0,5,5,715,1,999,0,0,1
305,41,7,0,1,0,0,0,1,5,3,402,1,999,0,0,0
306,40,6,0,4,2,1,0,0,8,2,198,3,999,0,0,0
307,47,5,0,3,0,0,0,0,5,5,176,1,999,0,0,0
308,27,3,2,1,0,0,0,0,7,2,130,1,999,0,0,0
309,30,6,0,4,0,0,0,0,7,3,333,19,999,0,0,0
310,42,3,0,1,0,1,1,0,7,3,156,1,999,0,0,0
311,39,6,2,4,0,1,0,0,11,3,58,1,999,0,0,0
312,29,3,2,3,0,0,0,0,5,4,290,1,999,0,0,0
313,46,0,0,2,0,2,2,1,5,2,445,2,999,0,0,0
314,41,3,0,1,0,1,0,1,5,5,55,1,999,0,0,0
315,36,11,0,2,0,0,0,1,5,2,85,1,999,0,0,0
316,52,3,0,3,0,0,0,0,8,4,114,6,999,0,0,0
317,32,3,0,3,0,1,0,0,7,4,154,1,999,0,0,0
318,31,5,2,3,0,1,0,1,5,6,31,9,999,0,0,0
319,45,0,0,6,2,1,0,0,8,4,134,1,999,0,0,0
320,48,11,0,2,0,1,0,0,8,2,132,1,999,0,0,0
321,32,3,2,3,0,0,0,1,5,2,611,2,999,0,0,0
322,33,3,0,3,0,0,0,0,11,5,133,4,999,0,0,0
323,41,1,2,3,0,1,0,1,7,5,153,2,999,0,0,0
324,53,6,0,3,0,1,0,1,5,4,274,2,999,0,0,0
325,51,5,0,5,0,0,0,0,8,6,547,3,999,0,0,0
326,26,3,2,1,0,0,0,0,10,6,306,1,999,0,0,1
327,27,0,2,6,0,0,0,1,5,2,350,1,999,0,0,0
328,31,6,0,4,0,1,0,0,11,5,144,2,999,0,0,0
329,44,0,0,2,0,0,0,0,7,3,345,5,999,0,0,0
330,35,0,0,0,0,2,2,1,5,5,34,1,999,0,0,0
331,44,0,0,2,2,0,0,1,5,3,272,2,999,0,0,0
332,41,0,0,4,2,0,0,0,11,3,124,1,999,0,0,0
333,34,6,0,4,0,1,1,0,11,6,379,2,999,0,0,0
334,34,0,0,0,0,1,0,0,5,2,178,1,999,0,0,0
335,43,8,0,1,0,1,0,0,5,6,663,1,999,0,0,1
336,39,0,1,0,0,0,0,1,5,4,143,1,999,0,0,0
337,46,6,1,1,0,0,0,1,6,6,1288,3,999,0,0,0
338,35,6,1,4,0,0,0,0,5,6,354,1,999,0,0,1
339,47,5,0,3,2,1,1,1,6,4,55,1,999,0,0,0
340,27,8,2,1,0,0,0,0,5,2,52,4,999,0,0,0
341,37,3,0,3,2,0,0,0,5,2,547,1,999,0,0,0
342,52,0,0,0,0,1,0,1,5,5,397,1,999,0,0,0
343,43,0,0,0,0,1,0,1,5,4,141,2,999,0,0,0
344,31,3,2,1,0,1,0,0,8,6,76,4,999,0,0,0
345,29,3,2,1,0,1,0,0,8,3,67,1,999,0,0,0
346,43,3,0,3,0,1,0,0,5,6,126,2,999,1,1,0
347,47,1,2,1,2,1,0,1,6,6,39,3,999,0,0,0
348,45,9,1,2,0,1,0,0,8,4,156,1,999,0,0,0
349,39,0,0,2,0,0,0,0,5,2,181,1,999,0,0,0
350,36,3,0,3,0,1,0,0,7,3,649,2,999,0,0,0
351,21,5,2,0,0,0,0,0,4,2,293,2,999,0,0,0
352,28,3,0,3,2,0,0,0,7,3,60,3,999,0,0,0
353,48,5,1,3,0,1,0,0,4,2,365,1,999,0,0,0
354,43,8,0,1,0,0,0,0,8,2,75,1,999,0,0,0
355,37,3,2,1,0,0,1,0,8,2,220,2,999,0,0,0
356,59,2,1,4,0,1,0,0,5,4,281,3,999,0,0,0
357,31,1,0,6,0,1,0,1,5,6,108,3,999,0,0,0
358,57,6,2,1,2,1,0,0,8,4,107,8,999,0,0,0
359,44,5,0,3,0,0,0,0,8,5,464,3,999,0,0,0
360,57,8,1,1,2,1,1,1,6,3,236,2,999,0,0,0
361,26,10,2,3,2,0,0,1,6,5,237,5,999,0,0,0
362,43,2,0,3,0,1,0,0,11,6,83,1,999,0,0,0
363,34,0,0,0,0,1,0,1,6,6,232,2,999,0,0,0
364,48,3,0,3,0,0,0,0,11,4,1061,4,999,0,0,1
365,32,3,1,3,0,1,0,1,5,6,324,2,999,0,0,0
366,38,6,2,4,0,1,0,0,5,2,202,3,999,1,1,0
367,37,3,2,1,2,0,1,0,7,3,133,4,999,0,0,0
368,29,3,2,1,2,1,0,0,5,6,104,2,999,0,0,0
369,42,3,0,1,0,0,0,0,8,4,68,2,999,0,0,0
370,52,8,1,1,0,0,0,1,6,5,20,1,999,0,0,0
371,48,9,1,2,0,0,1,1,6,2,119,2,999,0,0,0
372,30,5,2,5,0,1,0,1,5,3,205,3,999,0,0,0
373,41,6,0,4,0,0,0,0,8,2,203,2,999,0,0,0
374,24,3,2,1,0,1,0,0,4,2,393,3,999,0,0,0
375,57,8,1,1,2,1,0,0,4,2,108,1,999,0,0,0
376,28,4,2,1,0,1,0,0,4,3,93,3,11,2,1,0
377,51,0,1,0,0,0,0,0,7,2,293,7,999,0,0,0
378,41,6,0,1,2,0,1,0,4,5,272,1,999,1,1,0
379,25,8,2,1,0,1,0,0,5,2,362,5,999,0,0,0
380,47,3,2,1,0,0,0,0,7,3,108,1,999,0,0,0
381,34,3,2,3,0,1,0,0,7,6,108,1,999,0,0,0
382,40,3,0,0,2,1,1,1,5,2,184,4,999,0,0,0
383,29,0,2,5,0,0,0,1,5,6,92,3,999,0,0,0
384,33,9,0,0,0,1,0,1,11,4,41,1,999,0,0,0
385,47,3,0,1,0,1,0,1,5,6,138,6,999,0,0,0
386,42,3,0,1,0,1,0,0,11,6,184,2,999,0,0,0
387,55,3,0,1,0,1,1,0,11,4,63,1,999,0,0,0
388,40,0,0,0,0,1,0,1,5,4,82,4,999,0,0,0
389,34,0,2,0,2,1,0,1,5,2,55,1,999,0,0,0
390,54,0,0,0,0,1,0,1,5,4,90,2,999,0,0,0
391,47,3,2,1,0,0,0,0,8,5,429,1,999,0,0,0
392,39,5,0,3,0,1,0,0,7,5,216,2,999,0,0,0
393,35,0,0,0,2,0,0,1,5,2,240,2,999,0,0,0
394,34,8,0,3,0,0,0,0,7,3,419,7,999,0,0,0
395,31,6,2,1,0,1,1,0,11,6,244,1,999,0,0,0
396,29,0,2,0,0,2,2,1,6,6,158,1,999,0,0,0
397,43,5,0,3,2,1,0,1,5,6,99,6,999,0,0,0
398,33,0,0,0,0,1,0,0,5,3,112,4,999,0,0,0
399,44,3,2,1,0,1,0,1,11,2,124,1,999,0,0,0
400,32,8,2,1,0,0,0,0,3,2,93,2,999,1,1,0
401,37,0,0,0,0,2,2,1,5,3,322,2,999,0,0,0
402,28,9,2,0,0,0,1,0,8,3,261,1,999,1,1,1
403,31,6,1,1,0,1,0,0,8,5,142,2,999,0,0,0
404,33,0,2,0,0,1,0,0,5,4,116,2,999,1,1,0
405,29,6,2,1,0,1,0,1,5,2,420,1,999,0,0,0
406,34,6,1,4,0,0,0,0,7,3,116,5,999,0,0,0
407,34,6,1,5,0,1,0,1,7,5,190,4,999,0,0,0
